rank,movie_name,release_year,audience_rating,gross_earnings,director(s)
115,Star Wars: Episode IV - A New Hope,1977,PG,775398507,George Lucas
116,No Time to Die,2021,PG-13,774153007,Cary Joji Fukunaga
117,Guardians of the Galaxy,2014,PG-13,773350376,James Gunn
118,Gravity,2013,PG-13,773031617,Alfonso Cuarón
119,The Batman,2022,PG-13,772272279,Matt Reeves
120,Thor: Love and Thunder,2022,PG-13,760928081,Taika Waititi
121,Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,760732926,David Leitch
122,The Da Vinci Code,2006,PG-13,760006945,Ron Howard
123,Maleficent,2014,PG,759853685,Robert Stromberg
124,The Hunger Games: Mockingjay - Part 1,2014,PG-13,759159711,Francis Lawrence
125,The Amazing Spider-Man,2012,PG-13,758707722,Marc Webb
126,Shrek Forever After,2010,PG,752600867,Mike Mitchell
127,Suicide Squad,2016,PG-13,749200054,David Ayer
128,Madagascar 3: Europe's Most Wanted,2012,PG,746921274,"Eric Darnell, Tom McGrath, Conrad Vernon"
129,X-Men: Days of Future Past,2014,PG-13,746045700,Bryan Singer
130,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,745013115,Andrew Adamson
131,Monsters University,2013,G,743559645,Dan Scanlon
132,The Matrix Reloaded,2003,R,741847937,"Lana Wachowski, Lilly Wachowski"
133,Up,2009,PG,735102136,"Pete Docter, Bob Peterson"
134,Ne Zha,2019,Not Rated,726264074,Yu Yang
135,F9: The Fast Saga,2021,PG-13,726229501,Justin Lin
136,Interstellar,2014,PG-13,725684091,Christopher Nolan
137,The Amazing Spider-Man 2,2014,PG-13,716891708,Marc Webb
138,Dune: Part Two,2024,PG-13,714444358,Denis Villeneuve
139,Captain America: The Winter Soldier,2014,PG-13,714421503,"Anthony Russo, Joe Russo"
140,The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,712205856,Bill Condon
141,The Twilight Saga: New Moon,2009,PG-13,711048123,Chris Weitz
142,Dawn of the Planet of the Apes,2014,PG-13,710644566,Matt Reeves
143,Transformers,2007,PG-13,709709780,Michael Bay
144,Fast X,2023,PG-13,704875015,Louis Leterrier
145,It,2017,R,704242888,Andy Muschietti
146,The Wandering Earth,2019,TV-MA,699992512,Frant Gwo
147,The Twilight Saga: Eclipse,2010,PG-13,698513085,David Slade
148,The Hunger Games,2012,PG-13,695220619,Gary Ross
149,Mission: Impossible - Ghost Protocol,2011,PG-13,694713380,Brad Bird
150,Spider-Man: Across the Spider-Verse,2023,PG,690824738,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson"
151,Detective Chinatown 3,2021,R,686257563,Sicheng Chen
152,Mission: Impossible - Rogue Nation,2015,PG-13,682716636,Christopher McQuarrie
153,Forrest Gump,1994,PG-13,678226465,Robert Zemeckis
154,Doctor Strange,2016,PG-13,677796833,Scott Derrickson
155,The Sixth Sense,1999,PG-13,672806432,M. Night Shyamalan
156,Man of Steel,2013,PG-13,670145518,Zack Snyder
157,Ice Age: The Meltdown,2006,PG,667094506,Carlos Saldanha
158,Kung Fu Panda 2,2011,PG,665692281,Jennifer Yuh Nelson
159,The Hunger Games: Mockingjay - Part 2,2015,PG-13,661456867,Francis Lawrence
160,Justice League,2017,PG-13,661326987,Zack Snyder
161,Big Hero 6,2014,PG,657870525,"Don Hall, Chris Williams"
162,Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,655755901,David Yates
163,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,654264546,Gore Verbinski
164,Men in Black³,2012,PG-13,654213485,Barry Sonnenfeld
165,Star Wars: Episode II - Attack of the Clones,2002,PG,653780724,George Lucas
166,Thor: The Dark World,2013,PG-13,644783140,Alan Taylor
167,Moana,2016,PG,643332467,"Ron Clements, John Musker, Don Hall"
168,Wonka,2023,PG,634402312,Paul King
169,Sing,2016,PG,634338409,"Garth Jennings, Christophe Lourdelet"
170,Kung Fu Panda,2008,PG,632091832,"Mark Osborne, John Stevenson"
171,The Incredibles,2004,PG,631688498,Brad Bird
172,The Martian,2015,PG-13,630621406,Ridley Scott
173,Hancock,2008,R,629443428,Peter Berg
174,Water Gate Bridge,2022,Not Rated,626571697,"Hark Tsui, Kaige Chen, Dante Lam"
175,Fast Five,2011,PG-13,626140012,Justin Lin
176,Iron Man 2,2010,PG-13,623933331,Jon Favreau
177,Ratatouille,2007,G,623728318,"Brad Bird, Jan Pinkava"
178,Ant-Man and the Wasp,2018,PG-13,622674139,Peyton Reed
179,How to Train Your Dragon 2,2014,PG,621537519,Dean DeBlois
180,Logan,2017,R,619180476,James Mangold
181,The Lost World: Jurassic Park,1997,PG-13,618638999,Steven Spielberg
182,Casino Royale,2006,PG-13,616577552,Martin Campbell
183,The Passion of the Christ,2004,R,612060372,Mel Gibson
184,Mamma Mia!,2008,PG-13,611452132,Phyllida Lloyd
185,Life of Pi,2012,PG,609016565,Ang Lee
186,Ready Player One,2018,PG-13,607874422,Steven Spielberg
187,Transformers: The Last Knight,2017,PG-13,605425157,Michael Bay
188,Madagascar: Escape 2 Africa,2008,PG,603900354,"Eric Darnell, Tom McGrath"
189,War of the Worlds,2005,PG-13,603873504,Steven Spielberg
190,Tangled,2010,PG,591806017,"Nathan Greno, Byron Howard"
191,Quantum of Solace,2008,PG-13,589593688,Marc Forster
192,Men in Black,1997,PG-13,589390539,Barry Sonnenfeld
193,The Croods,2013,PG,587266745,"Kirk DeMicco, Chris Sanders"
194,The Hangover Part II,2011,R,586764305,Todd Phillips
195,Iron Man,2008,PG-13,585796247,Jon Favreau
196,I Am Legend,2007,PG-13,585410052,Francis Lawrence
197,"Monsters, Inc.",2001,G,579723931,"Pete Docter, David Silverman, Lee Unkrich"
198,Operation Red Sea,2018,TV-MA,579330426,Dante Lam
199,Night at the Museum,2006,PG,574482479,Shawn Levy
200,Godzilla x Kong: The New Empire,2024,PG-13,571750016,Adam Wingard
201,Mission: Impossible - Dead Reckoning Part One,2023,PG-13,570619838,Christopher McQuarrie
202,Fifty Shades of Grey,2015,R,569651467,Sam Taylor-Johnson
203,The Little Mermaid,2023,PG,569626289,Rob Marshall
204,Kong: Skull Island,2017,PG-13,568652812,Jordan Vogt-Roberts
205,The Smurfs,2011,PG,563892376,Raja Gosnell
206,Cars 2,2011,G,559853036,"John Lasseter, Bradford Lewis"
207,King Kong,2005,PG-13,556906378,Peter Jackson
208,Puss in Boots,2011,PG,554987477,Chris Miller
209,The Mermaid,2016,R,553810228,Stephen Chow
210,Armageddon,1998,PG-13,553712773,Michael Bay
211,The Day After Tomorrow,2004,PG-13,552639571,Roland Emmerich
212,Star Wars: Episode V - The Empire Strikes Back,1980,PG,550016086,Irvin Kershner
213,Ted,2012,R,549368315,Seth MacFarlane
214,Kung Fu Panda 4,2024,PG,549205628,"Mike Mitchell, Stephanie Stine"
215,American Sniper,2014,R,547659020,Clint Eastwood
216,Mission: Impossible II,2000,PG-13,546388108,John Woo
217,Detective Chinatown 2,2018,R,544185156,Sicheng Chen
218,Despicable Me,2010,PG,544174973,"Pierre Coffin, Chris Renaud"
219,X-Men: Apocalypse,2016,PG-13,543934105,Bryan Singer
220,Sherlock Holmes: A Game of Shadows,2011,PG-13,543848418,Guy Ritchie
221,Cinderella,2015,PG,542358331,Kenneth Branagh
222,Madagascar,2005,PG,542064525,"Eric Darnell, Tom McGrath"
223,Hotel Transylvania 3: Summer Vacation,2018,PG,541504608,Genndy Tartakovsky
224,World War Z,2013,PG-13,540455876,Marc Forster
225,The Grinch,2018,PG,540029016,"Yarrow Cheney, Scott Mosier"
226,How to Train Your Dragon: The Hidden World,2019,PG,539987993,Dean DeBlois
227,Brave,2012,PG,538983207,"Mark Andrews, Brenda Chapman, Steve Purcell"
228,The Simpsons Movie,2007,PG-13,536414293,David Silverman
229,The Revenant,2015,R,532950503,Alejandro G. Iñárritu
230,Dunkirk,2017,PG-13,530432122,Christopher Nolan
231,The Meg,2018,PG-13,529338515,Jon Turteltaub
232,Ralph Breaks the Internet,2018,PG,529323962,"Phil Johnston, Rich Moore"
233,The Boss Baby,2017,PG,527965936,Tom McGrath
234,WALL·E,2008,G,527403656,Andrew Stanton
235,Godzilla,2014,PG-13,524978362,Gareth Edwards
236,Sherlock Holmes,2009,PG-13,524028679,Guy Ritchie
237,Meet the Fockers,2004,PG-13,522657936,Jay Roach
238,Kung Fu Panda 3,2016,PG,521170825,"Alessandro Carloni, Jennifer Yuh Nelson"
239,Terminator 2: Judgment Day,1991,R,520881154,James Cameron
240,Ant-Man,2015,PG-13,519311965,Peyton Reed
241,La La Land,2016,PG-13,509183536,Damien Chazelle
242,Venom: Let There Be Carnage,2021,PG-13,506863592,Andy Serkis
243,Ghost,1990,PG-13,505703557,Jerry Zucker
244,Aladdin,1992,G,504050219,"Ron Clements, John Musker"
245,Rio 2,2014,G,498781117,Carlos Saldanha
246,Troy,2004,R,497409852,Wolfgang Petersen
247,Toy Story 2,1999,G,497375381,"John Lasseter, Ash Brannon, Lee Unkrich"
248,Elemental,2023,PG,496444308,Peter Sohn
249,How to Train Your Dragon,2010,PG,494879860,"Dean DeBlois, Chris Sanders"
250,Twister,1996,PG-13,494580615,Jan de Bont
251,Oz the Great and Powerful,2013,PG,493311825,Sam Raimi
252,Clash of the Titans,2010,PG-13,493214993,Louis Leterrier
253,Maleficent: Mistress of Evil,2019,PG,491730089,Joachim Rønning
254,War for the Planet of the Apes,2017,PG-13,490719763,Matt Reeves
255,Shrek,2001,PG,488628188,"Andrew Adamson, Vicky Jenson"
256,Mr. & Mrs. Smith,2005,PG-13,487287646,Doug Liman
257,Angels & Demons,2009,PG-13,485930816,Ron Howard
258,Teenage Mutant Ninja Turtles,2014,PG-13,485004754,Jonathan Liebesman
259,Bruce Almighty,2003,PG-13,484592874,Tom Shadyac
260,Rio,2011,G,483866772,Carlos Saldanha
261,Star Wars: Episode VI - Return of the Jedi,1983,PG,482466382,Richard Marquand
262,Saving Private Ryan,1998,R,482351251,Steven Spielberg
263,Rise of the Planet of the Apes,2011,PG-13,481800873,Rupert Wyatt
264,Puss in Boots: The Last Wish,2022,PG,481757663,"Joel Crawford, Januel Mercado"
265,Jaws,1975,PG,477220580,Steven Spielberg
266,Home Alone,1990,PG,476684675,Chris Columbus
267,Ant-Man and the Wasp: Quantumania,2023,PG-13,476071180,Peyton Reed
268,Hotel Transylvania 2,2015,PG,475186976,Genndy Tartakovsky
269,Charlie and the Chocolate Factory,2005,PG,474968763,Tim Burton
270,San Andreas,2015,PG-13,474609154,Brad Peyton
271,Indiana Jones and the Last Crusade,1989,PG-13,474171806,Steven Spielberg
272,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,TV-MA,473230408,Haruo Sotozaki
273,It Chapter Two,2019,R,473123154,Andy Muschietti
274,The King's Speech,2010,R,472088310,Tom Hooper
275,Wreck-It Ralph,2012,PG,471222950,Rich Moore
276,The Lego Movie,2014,PG,470759687,"Phil Lord, Christopher Miller"
277,Godzilla vs. Kong,2021,PG-13,470116094,Adam Wingard
278,The Hangover,2009,R,469328922,Todd Phillips
279,Lucy,2014,R,469058574,Luc Besson
280,Bumblebee,2018,PG-13,467989645,Travis Knight
281,The Matrix,1999,R,467840449,"Lana Wachowski, Lilly Wachowski"
282,Star Trek Into Darkness,2013,PG-13,467365246,J.J. Abrams
283,Gladiator,2000,R,465390350,Ridley Scott
284,Pretty Woman,1990,R,463406268,Garry Marshall
285,Cars,2006,G,461996328,"John Lasseter, Joe Ranft"
286,The Eight Hundred,2020,Not Rated,461421559,Guan Hu
287,X-Men: The Last Stand,2006,PG-13,460435291,Brett Ratner
288,Moon Man,2022,Not Rated,460237662,Chiyu Zhang
289,National Treasure: Book of Secrets,2007,PG,459242249,Jon Turteltaub
290,The Greatest Showman,2017,PG,459066134,Michael Gracey
291,Mission: Impossible,1996,PG-13,457696391,Brian De Palma
292,300,2006,R,456082343,Zack Snyder
293,The Last Samurai,2003,R,454627263,Edward Zwick
294,Dying to Survive,2018,Not Rated,451183391,Muye Wen
295,Ocean's Eleven,2001,PG-13,450717150,Steven Soderbergh
296,"My People, My Country",2019,Not Rated,450064993,"Kaige Chen, Guan Hu, Hao Ning"
297,Pokémon: Detective Pikachu,2019,PG,450063166,Rob Letterman
298,Thor,2011,PG-13,449326618,Kenneth Branagh
299,Pearl Harbor,2001,PG-13,449220945,Michael Bay
300,Tarzan,1999,G,448191819,"Chris Buck, Kevin Lima"
301,Men in Black II,2002,PG-13,445135288,Barry Sonnenfeld
302,The Bourne Ultimatum,2007,PG-13,444100035,Paul Greengrass
303,The Mummy Returns,2001,PG-13,443284916,Stephen Sommers
304,Alvin and the Chipmunks: The Squeakquel,2009,PG,443140005,Betty Thomas
305,Les Misérables,2012,PG-13,442757529,Tom Hooper
306,Transformers: Rise of the Beasts,2023,PG-13,441381193,Steven Caple Jr.
307,Mrs. Doubtfire,1993,PG-13,441286195,Chris Columbus
308,Terminator Genisys,2015,PG-13,440603537,Alan Taylor
309,John Wick: Chapter 4,2023,R,440180275,Chad Stahelski
310,Aquaman and the Lost Kingdom,2023,PG-13,439381226,James Wan
311,Warcraft,2016,PG-13,439048914,Duncan Jones
312,A Star Is Born,2018,R,436433122,Bradley Cooper
313,Terminator 3: Rise of the Machines,2003,R,433371112,Jonathan Mostow
314,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,432243292,Destin Daniel Cretton
315,Die Another Day,2002,PG-13,431971781,Lee Tamahori
316,The Secret Life of Pets 2,2019,PG,431164459,"Chris Renaud, Jonathan del Val"
317,The Exorcist,1973,R,430872776,William Friedkin
318,Cast Away,2000,PG-13,429632142,Robert Zemeckis
319,Rampage,2018,PG-13,428128399,Brad Peyton
320,The Matrix Revolutions,2003,R,427344325,"Lana Wachowski, Lilly Wachowski"
321,The Intouchables,2011,R,426590315,"Olivier Nakache, Éric Toledano"
322,Bad Boys for Life,2020,R,426505244,"Adil El Arbi, Bilall Fallah"
323,Django Unchained,2012,R,426076293,Quentin Tarantino
324,Beauty and the Beast,1991,G,424967620,"Gary Trousdale, Kirk Wise"
325,Dances with Wolves,1990,PG-13,424208848,Kevin Costner
326,"My People, My Homeland",2020,Not Rated,422390820,"Hao Ning, Sicheng Chen, Chao Deng"
327,The Chronicles of Narnia: Prince Caspian,2008,PG,419665568,Andrew Adamson
328,Sex and the City,2008,R,418769972,Michael Patrick King
329,The Mummy,1999,PG-13,417643286,Stephen Sommers
330,The Captain,2019,Not Rated,417282021,Wai Keung Lau
331,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,415686217,Michael Apted
332,Jason Bourne,2016,PG-13,415484914,Paul Greengrass
333,The Wolverine,2013,PG-13,414828246,James Mangold
334,Kingsman: The Secret Service,2014,R,414351546,Matthew Vaughn
335,Night at the Museum: Battle of the Smithsonian,2009,PG,413106170,Shawn Levy
336,Batman,1989,PG-13,411569241,Tim Burton
337,The Bodyguard,1992,R,411046449,Mick Jackson
338,Pacific Rim,2013,PG-13,411002906,Guillermo del Toro
339,Kingsman: The Golden Circle,2017,R,410902662,Matthew Vaughn
340,Tron: Legacy,2010,PG,409912892,Joseph Kosinski
341,The Mummy,2017,PG-13,409231607,Alex Kurtzman
342,Ice Age: Collision Course,2016,PG,408754975,"Michael Thurmeier, Galen T. Chu"
343,Twilight,2008,PG-13,408496327,Catherine Hardwicke
344,Sing 2,2021,PG,408402685,"Garth Jennings, Christophe Lourdelet"
345,Signs,2002,PG-13,408247917,M. Night Shyamalan
